;;;N;дата;цена в $;;;;
;;;1;01.11.2023;205,66;;;;
;;;2;02.11.2023;218,51;;;;
;;;3;03.11.2023;219,96;;;;
;;;4;04.11.2023;219,96;;;;
;;;5;05.11.2023;219,96;;;;
;;;6;06.11.2023;219,27;;;;
;;;7;07.11.2023;222,18;;;;
;;;8;08.11.2023;222,11;;;;
;;;9;09.11.2023;209,98;;;;
;;;10;10.11.2023;214,65;;;;
;;;11;11.11.2023;214,65;;;;
;;;12;12.11.2023;214,65;;;;
;;;13;13.11.2023;223,71;;;;
;;;14;14.11.2023;237,41;;;;
;;;15;15.11.2023;242,84;;;;
;;;16;16.11.2023;233,59;;;;
;;;17;17.11.2023;234,3;;;;
;;;18;18.11.2023;234,3;;;;
;;;19;19.11.2023;234,3;;;;
;;;20;20.11.2023;235,6;;;;
;;;21;21.11.2023;241,2;;;;
;;;22;22.11.2023;234,21;;;;
;;;23;23.11.2023;234,21;;;;
;;;24;24.11.2023;235,45;;;;
;;;25;25.11.2023;235,45;;Описательная статистика;;
;;;26;26.11.2023;235,45;;;;
;;;27;27.11.2023;236,08;;Среднее;237,9725;
;;;28;28.11.2023;246,72;;Стандартная ошибка;1,695857526;
;;;29;29.11.2023;244,14;;Медиана;238,83;
;;;30;30.11.2023;240,08;;Мода;252,54;
;;;31;01.12.2023;238,83;;Стандартное отклонение;13,13605591;
;;;32;02.12.2023;238,83;;Дисперсия выборки;172,5559648;
;;;33;03.12.2023;238,83;;Эксцесс;-0,366599839;
;;;34;04.12.2023;235,58;;Асимметричность;-0,551619596;
;;;35;05.12.2023;238,72;;Интервал;55,78;
;;;36;06.12.2023;239,37;;Минимум;205,66;
;;;37;07.12.2023;242,64;;Максимум;261,44;
;;;38;08.12.2023;243,84;;Сумма;14278,35;
;;;39;09.12.2023;243,84;;Счет;60;
;;;40;10.12.2023;243,84;;;0;
;;;41;11.12.2023;239,74;k;14,18378949;;
;;;42;12.12.2023;237,01;интервалы частот;3,984285714;;
;;;43;13.12.2023;239,29;;;;
;;;44;14.12.2023;251,05;;номер точки;Интервалы;Частота
;;;45;15.12.2023;253,5;;1;205,66;1
;;;46;16.12.2023;253,5;;2;209,6442857;0
;;;47;17.12.2023;253,5;;3;213,6285714;1
;;;48;18.12.2023;252,08;;4;217,6128571;3
;;;49;19.12.2023;257,22;;5;221,5971429;5
;;;50;20.12.2023;247,14;;6;225,5814286;3
;;;51;21.12.2023;254,5;;7;229,5657143;0
;;;52;22.12.2023;252,54;;8;233,55;0
;;;53;23.12.2023;252,54;;9;237,5342857;14
;;;54;24.12.2023;252,54;;10;241,5185714;9
;;;55;25.12.2023;252,54;;11;245,5028571;6
;;;56;26.12.2023;253,18;;12;249,4871429;4
;;;57;27.12.2023;261,44;;13;253,4714286;8
;;;58;28.12.2023;253,18;;14;257,4557143;5
;;;59;29.12.2023;248,48;;15;261,44;1
;;;60;30.12.2023;248,48;;;;0
;;;;;;;;;60
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
